Title,Authors,Categories,Average Rating,Ratings Count,Published Date,Page Count,Language
R for Data Science,"Hadley Wickham, Garrett Grolemund",Computers,5,1,2016-12-12,521,en
Introduction to Data Science,Rafael A. Irizarry,Mathematics,0,0,2019-11-20,836,en
Data Science,"John D. Kelleher, Brendan Tierney",Computers,0,0,2018-04-13,282,en
A Hands-On Introduction to Data Science,Chirag Shah,Business & Economics,1,1,2020-04-02,459,en
Data Science,"John D. Kelleher, Brendan Tierney",Computers,0,0,2018-04-13,282,en
Data Science Fundamentals and Practical Approaches,"Nandi Dr. Rupam Dr. Gypsy, Kumar Sharma",Language Arts & Disciplines,0,0,2020-09-03,586,en
Data Science,"Vijay Kotu, Bala Deshpande",Computers,0,0,2018-11-27,570,en
Machine Learning and Data Science Blueprints for Finance,"Hariom Tatsat, Sahil Puri, Brad Lookabaugh",Computers,0,0,2020-10-01,426,en
Data Science from Scratch,Joel Grus,Computers,5,1,2015-04-14,336,en
Malware Data Science,"Joshua Saxe, Hillary Sanders",Computers,0,0,2018-09-25,274,en
An Introduction to Data Science,"Jeffrey S. Saltz, Jeffrey M. Stanton",Social Science,0,0,2017-08-25,294,en
Principles of Data Science,Sinan Ozdemir,Computers,0,0,2016-12-16,389,en
Data Science for Business,"Foster Provost, Tom Fawcett",Computers,0,0,2013-07-27,506,en
Build a Career in Data Science,"Emily Robinson, Jacqueline Nolis",Computers,0,0,2020-03-24,352,en
Python Data Science Handbook,Jake VanderPlas,Computers,0,0,2016-11-21,609,en
Human-Centered Data Science,"Cecilia Aragon, Shion Guha, Marina Kogan, Michael Muller, Gina Neff",Computers,0,0,2022-03-01,201,en
Data Smart,John W. Foreman,Business & Economics,0,0,2013-10-31,432,en
Doing Data Science,"Cathy O'Neil, Rachel Schutt",Computers,4,1,2013-10-09,320,en
Data Science for Mathematicians,Nathan Carter,Mathematics,0,0,2020-09-16,520,en
Data Science and Big Data Analytics,EMC Education Services,Computers,4,1,2014-12-19,432,en
Foundations of Data Science,"Avrim Blum, John Hopcroft, Ravindran Kannan",Computers,0,0,2020-01-23,433,en
Data Science For Dummies,Lillian Pierson,Computers,0,0,2021-08-20,439,en
Data Science For Dummies,Lillian Pierson,Business & Economics,0,0,2015-03-09,408,en
Modern Data Science with R,"Benjamin S. Baumer, Daniel T. Kaplan, Nicholas J. Horton",Business & Economics,0,0,2021-03-31,853,en
Targeted Learning in Data Science,"Mark J. van der Laan, Sherri Rose",Mathematics,0,0,2018-03-28,655,en
The Data Science Design Manual,Steven S. Skiena,Computers,0,0,2017-07-01,456,en
Data-Driven Science and Engineering,"Steven L. Brunton, J. Nathan Kutz",Computers,0,0,2022-05-05,615,en
Data Science Live Book,Pablo Casas,Uncategorized,0,0,2018-03-16,0,en
Introducing Data Science,"Davy Cielen, Arno Meysman",Computers,0,0,2016-05-02,489,en
Data Science at the Command Line,Jeroen Janssens,Computers,0,0,2014-09-25,207,en
Data Science in Education Using R,"Ryan A. Estrellado, Emily Freer, Joshua M. Rosenberg, Isabella C. Velásquez",Education,0,0,2020-10-26,331,en
Fundamentals of Clinical Data Science,"Pieter Kubben, Michel Dumontier, Andre Dekker",Medical,0,0,2018-12-21,218,en
The Data Science Workshop,"Anthony So, Thomas V. Joseph, Robert Thas John, Andrew Worsley, Dr. Samuel Asare",Computers,0,0,2020-01-29,817,en
How to Lead in Data Science,"Jike Chong, Yue Cathy Chang",Computers,0,0,2021-12-28,823,en
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions",Matt Taddy,Business & Economics,5,1,2019-08-23,350,en
Doing Data Science in R,Mark Andrews,Social Science,0,0,2021-03-31,518,en
Data Science Strategy For Dummies,Ulrika Jägare,Computers,0,0,2019-06-10,356,en
The Data Science Handbook,Field Cady,Computers,0,0,2024-10-31,374,en
Practical Data Science for Information Professionals,David Stuart,Language Arts & Disciplines,0,0,2020-07-24,200,en
Data Science from Scratch,Joel Grus,Computers,5,1,2019-04-12,387,en
